acronym,name,url,map
CCAMLR,Commission for the Conservation of Antarctic Marine Living Resources,http://www.ccamlr.org/,"0,25"
CCSBT,Commission for the Conservation of Southern Bluefin Tuna,http://www.ccsbt.org,"0,80"
GFCM,General Fisheries Commission for the Mediterranean,http://www.gfcm.org,"42,18"
IATTC,Inter-American Tropical Tuna Commission,http://www.iattc.org,"30,-120"
ICCAT,The International Commission for the Conservation of Atlantic Tunas ,http://www.iccat.es,"10,-33"
IOTC,Indian Ocean Tuna Commission,http://www.iotc.org,"8,77"
NAFO,Northwest Atlantic Fisheries Organization,http://www.nafo.int,"40,-42
"
NEAFC,North East Atlantic Fisheries Organization,http://www.neafc.org/,"45,-5"
NPFC,North Pacific Fisheries Commission,http://nwpbfo.nomaki.jp/,"45,-170"
SEAFO,Southeast Atlantic Fisheries Organization,http://www.seafo.org/,"15,0"
SIOFA,South Indian Ocean Fisheries Agreement,,"80,12"
SPRFMO,South Pacific Regional Fisheries Management Organisation,http://www.sprfmo.int,"20,-140"
WCPFC,Western and Central Pacific Fisheries Commission,http://www.wcpfc.int/,"18, 180"
